name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance	superkingdom	kingdom	phylum	class	order	family	genus
Cyprinella lutrensis	28791	species	292168	17	14	0.0 	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Cyprinella
Notropis	28793	genus	0	1	0	0.0 	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Notropis
Notropis stramineus	28795	species	34922	2	1	0.0 	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Notropis
Notropis volucellus	28797	species	53232	2	2	0.0 	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Notropis
Notemigonus crysoleucas	28800	species	116813	23	9	0.0 	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Notemigonus
Centropomus ensiferus	28803	species	36748	6	1	0.0 	Eukaryota	Metazoa	Chordata	Actinopteri		Centropomidae	Centropomus
Centropomus mexicanus	28804	species	2617	1	1	0.0 	Eukaryota	Metazoa	Chordata	Actinopteri		Centropomidae	Centropomus
Centropomus parallelus	28805	species	33731	2	2	0.0 	Eukaryota	Metazoa	Chordata	Actinopteri		Centropomidae	Centropomus
Centropomus undecimalis	28806	species	87746	3	2	0.0 	Eukaryota	Metazoa	Chordata	Actinopteri		Centropomidae	Centropomus
Lobochilotes labiatus	28810	species	107070	2	0	0.0 	Eukaryota	Metazoa	Chordata	Actinopteri	Cichliformes	Cichlidae	Lobochilotes
Petrochromis orthognathus	28818	species	21097	2	0	0.0 	Eukaryota	Metazoa	Chordata	Actinopteri	Cichliformes	Cichlidae	Petrochromis
Placidochromis milomo	28822	species	631858	13	2	0.0 	Eukaryota	Metazoa	Chordata	Actinopteri	Cichliformes	Cichlidae	Placidochromis
Pelvicachromis pulcher	28827	species	12331	3	2	0.0 	Eukaryota	Metazoa	Chordata	Actinopteri	Cichliformes	Cichlidae	Pelvicachromis
Solea	28828	genus	0	1	0	0.0 	Eukaryota	Metazoa	Chordata	Actinopteri	Pleuronectiformes	Soleidae	Solea
Solea senegalensis	28829	species	717659	250	129	0.0 	Eukaryota	Metazoa	Chordata	Actinopteri	Pleuronectiformes	Soleidae	Solea
Cucumaria miniata	28833	species	26614	6	4	0.0 	Eukaryota	Metazoa	Echinodermata	Holothuroidea	Dendrochirotida	Cucumariidae	Cucumaria
Nematodirus battus	28839	species	22096	2	0	0.0 	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	Molineidae	Nematodirus
Moniezia expansa	28841	species	55226	10	7	0.0 	Eukaryota	Metazoa	Platyhelminthes	Cestoda	Cyclophyllidea	Anoplocephalidae	Moniezia
Diphyllobothriidae	28843	family	0	457	0	0.0 	Eukaryota	Metazoa	Platyhelminthes	Cestoda	Diphyllobothriidea	Diphyllobothriidae	
Diphyllobothrium	28844	genus	0	255	0	0.0 	Eukaryota	Metazoa	Platyhelminthes	Cestoda	Diphyllobothriidea	Diphyllobothriidae	Diphyllobothrium
Diphyllobothrium dendriticum	28845	species	39885	2	1	0.0 	Eukaryota	Metazoa	Platyhelminthes	Cestoda	Diphyllobothriidea	Diphyllobothriidae	Diphyllobothrium
Leishmania sp.	28847	species	45486	14	11	0.0 	Eukaryota				Kinetoplastida	Trypanosomatidae	Leishmania
Gelidium coulteri	28849	species	28338	1	0	0.0 	Eukaryota			Florideophyceae	Gelidiales	Gelidiaceae	Gelidium
Gelidium latifolium	28851	species	19850	1	0	0.0 	Eukaryota			Florideophyceae	Gelidiales	Gelidiaceae	Gelidium
Gelidium americanum	28854	species	6817	1	1	0.0 	Eukaryota			Florideophyceae	Gelidiales	Gelidiaceae	Gelidium
Gelidium canariensis	28855	species	4689	2	1	0.0 	Eukaryota			Florideophyceae	Gelidiales	Gelidiaceae	Gelidium
Gelidium capense	28856	species	7601	1	1	0.0 	Eukaryota			Florideophyceae	Gelidiales	Gelidiaceae	Gelidium
Capreolia implexa	28865	species	48129	1	1	0.0 	Eukaryota			Florideophyceae	Gelidiales	Gelidiaceae	Capreolia
Gelidiella acerosa	28867	species	71932	1	1	0.0 	Eukaryota			Florideophyceae	Gelidiales	Gelidiellaceae	Gelidiella
Ovine respiratory syncytial virus	28869	species	9424	5	4	0.0 	Viruses				Mononegavirales	Pneumoviridae	Pneumovirus
Taterapox virus	28871	species	209362	108	27	0.0 	Viruses					Poxviridae	Orthopoxvirus
Camelpox virus	28873	species	322859	169	1	0.0 	Viruses					Poxviridae	Orthopoxvirus
Volepox virus	28874	species	244735	256	107	0.0 	Viruses					Poxviridae	Orthopoxvirus
Rotavirus A	28875	species	27989755	2600	860	0.0 	Viruses					Reoviridae	Rotavirus
Rotavirus B	28876	species	142027	61	29	0.0 	Viruses					Reoviridae	Rotavirus
IDIR agent	28877	leaf	7852	5	3	0.0 	Viruses					Reoviridae	Rotavirus
Ustilago maydis virus H1	28882	species	46368	3	0	0.0 	Viruses					Totiviridae	Totivirus
Caudovirales	28883	order	0	179	0	0.0 	Viruses				Caudovirales		
Hydrogenovibrio marinus	28885	species	42404	15	3	0.0 	Bacteria		Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Hydrogenovibrio
Planobispora longispora	28887	species	8356	8	5	0.0 	Bacteria		Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Planobispora
Crenarchaeota	28889	phylum	0	28	0	0.0 	Archaea		Crenarchaeota				
Euryarchaeota	28890	phylum	0	553	18	0.0 	Archaea		Euryarchaeota				
Streptomyces pilosus	28893	species	27313	2	1	0.0 	Bacteria		Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Thermoanaerobacterium	28895	genus	0	223	0	0.0 	Bacteria		Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Thermoanaerobacterium
Thermoanaerobacterium saccharolyticum	28896	species	35145	175	0	0.0 	Bacteria		Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Thermoanaerobacterium
Campylobacter helveticus	28898	species	25784	24	11	0.0 	Bacteria		Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Salmonella enterica	28901	species	18921715	9790	3905	0.0 	Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella
Mycoplasma bovis	28903	species	4099016	4282	2529	0.0 	Bacteria		Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma
Caedibacter	28905	genus	0	8	0	0.0 	Bacteria		Proteobacteria	Alphaproteobacteria	Holosporales		Caedibacter
Caedibacter caryophilus	28906	species	13593	19	3	0.0 	Bacteria		Proteobacteria	Alphaproteobacteria	Holosporales		Caedibacter
Caedibacter taeniospiralis	28907	species	56308	46	26	0.0 	Bacteria		Proteobacteria	Gammaproteobacteria	Thiotrichales		
Marchantiales	28908	order	0	44	1	0.0 	Eukaryota	Viridiplantae	Streptophyta	Marchantiopsida	Marchantiales		
Cynodon dactylon	28909	species	119662	12	4	0.0 	Eukaryota	Viridiplantae	Streptophyta	Liliopsida	Poales	Poaceae	Cynodon
Tripsacum andersonii	28910	species	6508	2	0	0.0 	Eukaryota	Viridiplantae	Streptophyta	Liliopsida	Poales	Poaceae	Tripsacum
Calycadenia multiglandulosa	28917	species	6934	4	4	0.0 	Eukaryota	Viridiplantae	Streptophyta		Asterales	Asteraceae	Calycadenia
Osmadenia tenella	28925	species	4712	3	2	0.0 	Eukaryota	Viridiplantae	Streptophyta		Asterales	Asteraceae	Osmadenia
Chrysolepis sempervirens	28927	species	22306	1	0	0.0 	Eukaryota	Viridiplantae	Streptophyta		Fagales	Fagaceae	Chrysolepis
Fagus crenata	28929	species	194199	60	18	0.0 	Eukaryota	Viridiplantae	Streptophyta		Fagales	Fagaceae	Fagus
Fagus sylvatica	28930	species	199907	55	25	0.0 	Eukaryota	Viridiplantae	Streptophyta		Fagales	Fagaceae	Fagus
Fuscospora alessandri	28931	species	11667	3	0	0.0 	Eukaryota	Viridiplantae	Streptophyta		Fagales	Nothofagaceae	Fuscospora
Nothofagus x alpina	28932	species	3729	3	3	0.0 	Eukaryota	Viridiplantae	Streptophyta		Fagales	Nothofagaceae	Nothofagus
Nothofagus antarctica	28933	species	18498	6	4	0.0 	Eukaryota	Viridiplantae	Streptophyta		Fagales	Nothofagaceae	Nothofagus
Trisyngyne balansae	28934	species	2747	2	0	0.0 	Eukaryota	Viridiplantae	Streptophyta		Fagales	Nothofagaceae	Trisyngyne
