name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Serinus canaria	9135	species	37954518	5859	2132	0.0
Furnariidae	9136	family	0	7	1	0.0
Asthenes	9137	genus	0	1	0	0.0
Corcorax melanorhamphos	9145	species	23591	2	1	0.0
Meliphagidae	9146	family	0	1	1	0.0
Paridae	9153	family	0	815	0	0.0
Parus	9154	genus	0	203	0	0.0
Parus major	9157	species	185984631	33048	6776	0.0
Passer montanus	9160	species	115570	19	9	0.0
Pittidae	9161	family	0	2	0	0.0
Pitta	9162	genus	0	1	0	0.0
Pitta sordida	9163	species	12864	1	1	0.0
Scytalopus magellanicus	9169	species	50387	12	4	0.0
Sturnidae	9170	family	0	36	0	0.0
Sturnus	9171	genus	0	539	0	0.0
Sturnus vulgaris	9172	species	90436733	15865	4252	0.0
Pomatostomus temporalis	9178	species	24352	4	2	0.0
Pomatostomus halli	9180	species	17437	1	1	0.0
Phylloscopus trochilus	9182	species	436801	18	12	0.0
Turdidae	9183	family	0	5	0	0.0
Catharus	9184	genus	0	2	1	0.0
Turdus merula	9187	species	179379	4	2	0.0
Agelaius tricolor	9191	species	22701	1	0	0.0
Laniarius	9194	genus	0	1	1	0.0
Laniarius turatii	9200	species	3627	4	0	0.0
Telophorus	9202	genus	0	1	0	0.0
Telophorus bocagei	9204	species	293	1	1	0.0
Pelecaniformes	9205	order	0	398	0	0.0
Phalacrocoracidae	9206	family	0	74	0	0.0
Phalacrocorax	9207	genus	0	69	0	0.0
Phalacrocorax carbo	9209	species	25897856	3283	1614	0.0
Phalacrocorax sulcirostris	9210	species	8048	3	1	0.0
Phoenicopteridae	9215	family	0	3	0	0.0
Phoenicopterus	9216	genus	0	1	0	0.0
Piciformes	9219	order	0	63	0	0.0
Picidae	9220	family	0	160	1	0.0
Psittaciformes	9223	order	0	191	0	0.0
Psittacidae	9224	family	0	132	1	0.0
Ara ararauna	9226	species	93037	7	1	0.0
Psittacula krameri	9228	species	37568	2	0	0.0
Sphenisciformes	9230	order	0	26	0	0.0
Spheniscidae	9231	family	0	853	0	0.0
Aptenodytes	9232	genus	0	118	0	0.0
Aptenodytes forsteri	9233	species	51084033	6907	1739	0.0
Aptenodytes patagonicus	9234	species	156340	14	10	0.0
Pygoscelis	9237	genus	0	110	0	0.0
